*Action(SiteID=UK|Country=GB|Currency=GBP|Version=745|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,*ConditionID,*C:Brand,*C:Colour,*C:Fit,*C:Size,*C:Department,*C:Type,*C:Sleeve Length,C:Fabric Type,*C:Style,*C:Character,*C:Pattern,*C:Material,*C:Neckline,*C:Features,*C:Size Type,*C:Vintage,C:Accents,C:Closure,C:Occasion,C:Collar Style,C:Season,C:Graphic Print,C:Handmade,C:Product Line,C:Signed,C:Country/Region of Manufacture,C:Character Family,C:Personalised,C:Chest Size,C:Garment Care,C:Model,C:Year Manufactured,C:Manufacturer Colour,C:MPN,,PicURL,GalleryType,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,*Quantity,PayPalAccepted,PayPalEmailAddress,ImmediatePayRequired,PaymentInstructions,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,DomesticRateTable,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName
Add,,155183,,Navy Timberland Spellout Hoodie - Large 47VC,,,,3000,Timberland,Navy,Regular,Large,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7348_a0cb7563-3785-43ac-a4ca-01c811922c68_1024x.jpg?v=1617540333 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7346_a5f6f129-3ef2-425b-835c-cf576c886249_1024x.jpg?v=1617540334 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7370_1024x.jpg?v=1617540341 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7372_1024x.jpg?v=1617540341,,Size on label: Large <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 65 cm<br>Length (collar to bottom): 74 cm<br>Arm (inside pit to cuff): 59 cm<br><br>Brand: Timberland<br>Type: Hoodie<br>Design: Embroidered Spellout<br>Colour: Navy<br><br>VCUK412,FixedPrice,30,54.987,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,White Timberland Spellout Hoodie - XXLarge 48VC,,,,3000,Timberland,White,Regular,XXLarge,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7350_208015b0-210f-487d-93b3-b1e85ad889da_1024x.jpg?v=1617540695 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7348_e36e54af-56e2-4bff-860e-da8bdeb3ee61_1024x.jpg?v=1617540696 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7374_6693b0f6-209e-41ea-8e57-fd984d5e4b3c_1024x.jpg?v=1617540703 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7377_23d5bc9c-572c-4861-a7bc-932ddb20558a_1024x.jpg?v=1617540703,,Size on label: XXLarge <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 73 cm<br>Length (collar to bottom): 85 cm<br>Arm (inside pit to cuff): 63 cm<br><br>Brand: Timberland<br>Type: Hoodie<br>Design: Embroidered Spellout<br>Colour: White<br><br>VCUK412,FixedPrice,30,59.2375,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Orange Reebok NFL Browns Crewneck Sweatshirt - Xlarge 49VC,,,,3000,NFL,Orange,Regular,Xlarge,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7346_49b869d4-8cb2-4985-a80e-86ab464db192_1024x.jpg?v=1617540243 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7344_1024x.jpg?v=1617540245 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7366_f258782a-bc71-4584-8602-cdc6307aee5a_1024x.jpg?v=1617540250 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7369_1024x.jpg?v=1617540250,,Size on label: Xlarge <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 73 cm<br>Length (collar to bottom): 80 cm<br>Arm (inside pit to cuff): 55 cm<br><br>Brand: Reebok<br>Type: Sweatshirt<br>Design: Embroidered NFL Browns Crewneck<br>Colour: Orange<br><br>VCUK412,FixedPrice,30,54.987,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Red Adidas Middle Logo Hoodie - Small 50VC,,,,3000,Adidas,Red,Regular,Small,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7340_1d81e187-c0a7-409f-9ac8-9a64e713f466_1024x.jpg?v=1617539990 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7343_d097b5c6-d5c5-49e4-ac22-0f699ac3daf5_1024x.jpg?v=1617539990 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7362_16fb7ca2-05df-4b33-b1c1-9c5e01ee79b0_1024x.jpg?v=1617540033 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7363_218be272-9e63-4dc6-a719-6761d77086ca_1024x.jpg?v=1617540032,,Size on label: Small <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 66 cm<br>Length (collar to bottom): 68 cm<br>Arm (inside pit to cuff): 49 cm<br><br>Brand: Adidas<br>Type: Hoodie<br>Design: Middle Logo<br>Colour: Red<br><br>VCUK412,FixedPrice,30,51.087,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Black Nike Middle Swoosh Hoodie - Xlarge 51VC,,,,3000,Nike,Black,Regular,Xlarge,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7372_63413f5a-0ffd-4974-b097-6ac926f83217_1024x.jpg?v=1617541899 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7364_44445a95-0518-43cb-adf8-503bb3593a4c_1024x.jpg?v=1617541899 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7412_ff2f1f38-bf5b-495e-8282-e8711e5ff4b2_1024x.jpg?v=1617541914 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7414_1024x.jpg?v=1617541914,,Size on label: Xlarge <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 68 cm<br>Length (collar to bottom): 72 cm<br>Arm (inside pit to cuff): 56 cm<br><br>Brand: Nike<br>Type: Hoodie<br>Design: Embroidered Middle Swoosh<br>Colour: Black<br><br>VCUK413,FixedPrice,30,122.988,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Black Puma Full Zip Sweatshirt - Large 52VC,,,,3000,Puma,Black,Regular,Large,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7296_e853e26f-9983-42ff-95ae-19227e778aab_1024x.jpg?v=1617454167 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7235_7f360a19-0f1c-4527-9001-35997e331de9_1024x.jpg?v=1617454169 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7322_b1145484-64e0-4034-a2d4-d4edda6c08d7_1024x.jpg?v=1617454177 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7323_0435629a-de2b-4398-b93a-48efb74fb35a_1024x.jpg?v=1617454176,,Size on label: Large <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 69 cm<br>Length (collar to bottom): 76 cm<br>Arm (inside pit to cuff): 56 cm<br><br>Brand: Puma<br>Type: Sweatshirt<br>Design: Full Zip<br>Colour: Black<br><br>VCUK411,FixedPrice,30,40.786,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Black Fila Spellout Hoodie - Xlarge 53VC,,,,3000,Fila,Black,Regular,Xlarge,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7304_929196f3-b3a7-4044-aa3a-9182b684799a_1024x.jpg?v=1617538483 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7330_88959856-ffe8-4c60-8487-941c61c73651_1024x.jpg?v=1617538480 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7333_214826ea-fb70-46b3-b914-bc70cf969a27_1024x.jpg?v=1617538496 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7335_1024x.jpg?v=1617538496,,Size on label: Xlarge <br>Recommended size: True to size.<br>Quality: Small hole on side<br><br>Chest (pit to pit): 66 cm<br>Length (collar to bottom): 72 cm<br>Arm (inside pit to cuff): 60 cm<br><br>Brand: Fila<br>Type: Hoodie<br>Design: Embroidered Spellout<br>Colour: Black<br><br>VCUK412,FixedPrice,30,45.887,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Grey Deadstock Carhartt Printed Sleeve Hoodie - Large 54VC,,,,3000,Carhartt,Grey,Regular,Large,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7290_132aa943-30bc-46a2-9784-efa95703ff35_1024x.jpg?v=1617453863 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7232_f9e3c120-edb3-46da-a1e7-a67f82c1fbc7_1024x.jpg?v=1617453862 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7313_1024x.jpg?v=1617453911 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7315_196b2919-b53f-4fb8-bdfe-b94848f1dddc_1024x.jpg?v=1617453910,,Size on label: Large <br>Recommended size: True to size.<br>Quality: New with tags<br><br>Chest (pit to pit): 63 cm<br>Length (collar to bottom): 80 cm<br>Arm (inside pit to cuff): 60 cm<br><br>Brand: Carhartt<br>Type: Hoodie<br>Design: Patched Printed Sleeve<br>Colour: Grey<br><br>VCUK411,FixedPrice,30,59.2375,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Grey Champion Single Stitch Hoodie - Medium 55VC,,,,3000,Champion,Grey,Regular,Medium,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7283_ee72ebb1-a508-4931-b23a-6aa5abc55942_1024x.jpg?v=1617453479 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7228_b9067810-f6a5-43c7-828f-de50283afd88_1024x.jpg?v=1617453482 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7304_c70e63f9-ff7d-4274-a382-68266aa69033_1024x.jpg?v=1617453486 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7305_8fbaa9f3-316e-441b-b25c-c9b1c2751197_1024x.jpg?v=1617453486,,Size on label: Medium <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 60 cm<br>Length (collar to bottom): 70 cm<br>Arm (inside pit to cuff): 61 cm<br><br>Brand: Champion<br>Type: Hoodie<br>Design: Embroidered Single Stitch<br>Colour: Grey<br><br>VCUK411,FixedPrice,30,45.887,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
Add,,155183,,Black Adidas Single Stitch Hoodie - XXLarge 56VC,,,,3000,Adidas,Black,Regular,XXLarge,Men,unknown,unknown,unknown,unknown,unknown,see image,see description,unknown,see image,see description,Yes,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7288_53322028-eb86-403e-8b87-fe6053b375dd_1024x.jpg?v=1617453733 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7231_1024x.jpg?v=1617453735 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7310_1024x.jpg?v=1617453737 | http://cdn.shopify.com/s/files/1/0304/1270/1741/products/IMG_7311_1024x.jpg?v=1617453737,,Size on label: XXLarge <br>Recommended size: True to size.<br>Quality: A* Grade vintage condition<br><br>Chest (pit to pit): 67 cm<br>Length (collar to bottom): 81 cm<br>Arm (inside pit to cuff): 65 cm<br><br>Brand: Adidas<br>Type: Hoodie<br>Design: Embroidered Single Stitch<br>Colour: Black<br><br>VCUK411,FixedPrice,30,47.187,,1,1,jackkaybuiss@hotmail.com,1,,"Preston, Lancashire",Flat,UK_RoyalMail48,0,,,2,,,,ReturnsNotAccepted,,,,,,,
