Image Code,Title,Uploaded,Price,Listing Price,size,Measurements,Colour,Brand,Description,Item Url
1TT, Ralph Lauren Hoodie / Large /  L /  Yellow ,FALSE,£59.95,83.92999999999999, L,Pit to pit: 23" // Shoulder to bottom: 27" , Yellow ,Ralph Lauren,Size on label: L<br>Recommended size: L<br>Pit to pit: 23" // Shoulder to bottom: 27" <br>Colour: Yellow <br>Condition: Very good vintage condition. One small mark on sleeve. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/ralph-hoodie
2TT, 00's Nike Hoodie / Large /  XL /  Black / Blue ,FALSE,£54.95,76.92999999999999, XL,Pit to pit: 22" // Shoulder to bottom: 27" , Black / Blue ,Nike,Size on label: XL<br>Recommended size: L<br>Pit to pit: 22" // Shoulder to bottom: 27" <br>Colour: Black / Blue <br>Condition: Very good vintage condition. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-hoodie-1
3TT, 00's Nike Sweatshirt / Medium /  M /  Grey ,FALSE,£59.95,83.92999999999999, M,Pit to pit: 22" // Shoulder to bottom: 26" , Grey ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 22" // Shoulder to bottom: 26" <br>Colour: Grey <br>Condition: Very good vintage condition. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-sweatshirt
4TT, The North Face Sweatshirt / Medium /  95/M /  Yellow ,FALSE,£44.95,68.67750000000001, 95/M,Pit to pit: 21" // Shoulder to bottom: 26" , Yellow ,The North Face,Size on label: 95/M<br>Recommended size: M <br>Pit to pit: 21" // Shoulder to bottom: 26" <br>Colour: Yellow <br>Condition: Very good vintage condition. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/tnf-sweatshirt
5TT, Napapijiri TransAntartica Hooded Fleece  / Large /  XL  /  Blue / Grey / White  ,FALSE,£69.95,94.4325, XL ,Pit to pit: 26" // Shoulder to bottom: 28" , Blue / Grey / White  ,Napapijiri,Size on label: XL <br>Recommended size: L<br>Pit to pit: 26" // Shoulder to bottom: 28" <br>Colour: Blue / Grey / White  <br>Condition: Very good vintage condition!  ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-napapijri-transarctica-hooded-fleece-xl
6TT, 90'S NIKE HOODIE / LARGE /  100M /  Blue / Beige / Red ,FALSE,£74.95,97.435, 100M,Pit to pit: 25" // Shoulder to bottom: 28" , Blue / Beige / Red ,Nike,Size on label: 100M<br>Recommended size: L <br>Pit to pit: 25" // Shoulder to bottom: 28" <br>Colour: Blue / Beige / Red <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-hoodie-large
7TT, 90'S NIKE SWEATSHIRT / XL /  XL /  Red,FALSE,£74.95,97.435, XL,Pit to pit: 26" // Shoulder to bottom: 30" , Red,Nike,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 26" // Shoulder to bottom: 30" <br>Colour: Red<br>Condition: Excellent vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-9
8TT, 90'S NIKE SWEATSHIRT / LARGE /  N/A /  Orange ,FALSE,£72.95,94.83500000000001, N/A,Pit to pit: 26" // Shoulder to bottom: 27" , Orange ,Nike,Size on label: N/A<br>Recommended size: L<br>Pit to pit: 26" // Shoulder to bottom: 27" <br>Colour: Orange <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-8
9TT, 90'S NIKE SPELLOUT SWEATSHIRT / MEDIUM /  M /  Grey,FALSE,£59.95,83.92999999999999, M,Pit to pit: 24" // Shoulder to bottom: 26" , Grey,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 24" // Shoulder to bottom: 26" <br>Colour: Grey<br>Condition: Good vintage condition! Some marks, please see photos. ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-7
10TT, 90'S NIKE SPELLOUT SWEATSHIRT / XL /  XL /  Green ,FALSE,£82.95,107.83500000000001, XL,Pit to pit: 26" // Shoulder to bottom: 27" , Green ,Nike,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 26" // Shoulder to bottom: 27" <br>Colour: Green <br>Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-6
