84TT, , Ralph Lauren Hoodie / Large /  L /  Yellow  / 84TT,FALSE,£59.95,83.92999999999999, L,Pit to pit: 23" // Shoulder to bottom: 27" , Yellow ,Ralph Lauren,Size on label: L<br>Recommended size: L<br>Pit to pit: 23" // Shoulder to bottom: 27" <br>Colour: Yellow <br>Condition: Very good vintage condition. One small mark on sleeve. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/FAD4C3F3-3845-410E-83CA-791D31C19748.jpg?v=1610365338|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/36D622FA-F76D-4A5C-A23A-3EB40D865CE3.jpg?v=1610365339|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/328AD93A-1AAB-4D33-A96F-AFACCE68EF3D.jpg?v=1610365338|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/1931AB66-B416-43BE-A994-2E2B9D4E4599.jpg?v=1610365339,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/ralph-hoodie
85TT, , 00's Nike Hoodie / Large /  XL /  Black / Blue  / 85TT,FALSE,£54.95,76.92999999999999, XL,Pit to pit: 22" // Shoulder to bottom: 27" , Black / Blue ,Nike,Size on label: XL<br>Recommended size: L<br>Pit to pit: 22" // Shoulder to bottom: 27" <br>Colour: Black / Blue <br>Condition: Very good vintage condition. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/1255CC21-7A46-4A95-9A2A-54DB5DE3FEE1.jpg?v=1610365285|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/53F6BA8A-4A61-4A62-86D7-0243BAC37A91.jpg?v=1610365285|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/A8E65F7F-D549-4DEC-93D8-F4823E2621EE.jpg?v=1610365285,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-hoodie-1
86TT, , 00's Nike Sweatshirt / Medium /  M /  Grey  / 86TT,FALSE,£59.95,83.92999999999999, M,Pit to pit: 22" // Shoulder to bottom: 26" , Grey ,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 22" // Shoulder to bottom: 26" <br>Colour: Grey <br>Condition: Very good vintage condition. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/38430ECC-5005-4561-B017-B119A3B06F0F.jpg?v=1610365203|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/D94CC758-193A-4DE1-A330-8C57881244A5.jpg?v=1610365204|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/9C037082-1966-4245-B63F-92E504C66F62.jpg?v=1610365203,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-sweatshirt
87TT, , The North Face Sweatshirt / Medium /  95/M /  Yellow  / 87TT,FALSE,£44.95,68.67750000000001, 95/M,Pit to pit: 21" // Shoulder to bottom: 26" , Yellow ,The North Face,Size on label: 95/M<br>Recommended size: M <br>Pit to pit: 21" // Shoulder to bottom: 26" <br>Colour: Yellow <br>Condition: Very good vintage condition. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/27F53F83-9D7E-4064-9EA7-0518E29C1BB9.jpg?v=1610365147|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/C27F11DB-F868-461A-AE8D-638ED28FE7FA.jpg?v=1610365146|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/84DEF3B3-6368-4B70-A5A2-ED20E36ED8DF.jpg?v=1610365147,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/tnf-sweatshirt
88TT, , Napapijiri TransAntartica Hooded Fleece  / Large /  XL  /  Blue / Grey / White   / 88TT,FALSE,£69.95,94.4325, XL ,Pit to pit: 26" // Shoulder to bottom: 28" , Blue / Grey / White  ,Napapijiri,Size on label: XL <br>Recommended size: L<br>Pit to pit: 26" // Shoulder to bottom: 28" <br>Colour: Blue / Grey / White  <br>Condition: Very good vintage condition!  ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DA784ECF-46B5-48A5-B22B-A90FAD17F28D.jpg?v=1610364615|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/04B1DF21-2B2A-4FA6-8229-937E47CF6F11.jpg?v=1610364618|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/EF8C280B-6FFF-4B24-95CD-BA4281C01FE3.jpg?v=1610364615,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-napapijri-transarctica-hooded-fleece-xl
89TT, , 90'S NIKE HOODIE / LARGE /  100M /  Blue / Beige / Red  / 89TT,FALSE,£74.95,97.435, 100M,Pit to pit: 25" // Shoulder to bottom: 28" , Blue / Beige / Red ,Nike,Size on label: 100M<br>Recommended size: L <br>Pit to pit: 25" // Shoulder to bottom: 28" <br>Colour: Blue / Beige / Red <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3473.jpg?v=1608731622|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3474.jpg?v=1608731622|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3475.jpg?v=1608731622,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-hoodie-large
90TT, , 90'S NIKE SWEATSHIRT / XL /  XL /  Red / 90TT,FALSE,£74.95,97.435, XL,Pit to pit: 26" // Shoulder to bottom: 30" , Red,Nike,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 26" // Shoulder to bottom: 30" <br>Colour: Red<br>Condition: Excellent vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/E654F1C1-9B01-4B21-A01D-90ED7CCB7FF2.jpg?v=1608048602|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/61AEC733-5743-4E37-95F8-BE59E2E51C41.jpg?v=1608048602,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-9
91TT, , 90'S NIKE SWEATSHIRT / LARGE /  N/A /  Orange  / 91TT,FALSE,£72.95,94.83500000000001, N/A,Pit to pit: 26" // Shoulder to bottom: 27" , Orange ,Nike,Size on label: N/A<br>Recommended size: L<br>Pit to pit: 26" // Shoulder to bottom: 27" <br>Colour: Orange <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/47AEDB7A-E0A8-46F7-950B-D4D58E9A48B4.jpg?v=1608048526|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/7B415D17-7074-4759-8138-DB971914891F.jpg?v=1608048527,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-8
92TT, , 90'S NIKE SPELLOUT SWEATSHIRT / MEDIUM /  M /  Grey / 92TT,FALSE,£59.95,83.92999999999999, M,Pit to pit: 24" // Shoulder to bottom: 26" , Grey,Nike,Size on label: M<br>Recommended size: M<br>Pit to pit: 24" // Shoulder to bottom: 26" <br>Colour: Grey<br>Condition: Good vintage condition! Some marks please see photos. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/14B28638-FD99-48E6-9E4C-10B9D224C811.jpg?v=1608048457|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/1647D8B5-8F94-4606-9A3A-1B4DBFDD37BB.jpg?v=1608048457|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/61932801-5121-4AE4-8C41-168B37AF365D.jpg?v=1608048457,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-7
93TT, , 90's NIKE SPELLOUT SWEATSHIRT / XL /  XL /  Black  / 93TT,FALSE,£82.95,107.83500000000001, XL,Pit to pit: 25" // Shoulder to bottom: 27" , Black ,Nike,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 25" // Shoulder to bottom: 27" <br>Colour: Black <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/5BD03296-B62C-47CD-9A4B-A855343D5874.jpg?v=1608048172|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/16ADB4CD-4B2D-4950-852C-3479F7A2502F.jpg?v=1608048172,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/nike-2
