"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"+","Baby","","","","","","","2984","",""
"+","Books, Comics & Magazines","","","","","","","267","",""
"-","Business, Office & Industrial","","","","","","","12576","",""
"","+","Adhesives, Sealants & Tapes","","","","","","109471","",""
"","+","Agriculture/Farming","","","","","","11748","",""
"","-","Building Materials & Supplies","","","","","","41498","",""
"","","","Building Regulations & Courses","","","","","72346","",""
"","","-","Carpentry & Woodwork","","","","","147790","This Category is being retired.",""
"","","","","Carpentry Tools & Equipment","","","","58148","All listings are being moved into [Other Woodworking Supplies - 42938].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Other Carpentry & Woodwork","","","","147792","All listings are being moved into [Other Woodworking Supplies - 42938].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Doors & Door Fixtures","","","","","63893","All listings are being moved into [Other Building Materials - 1268].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Electrical","","","","","50200","This Category is being retired.",""
"","","","","Cables & Connectors","","","","147804","All listings are being moved into [Wire & Cable Connectors - 260835].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Electrical Fittings","","","","41499","All listings are being moved into [Conduit Fittings - 117490].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sockets","","","","121872","All listings are being moved into [Electrical Sockets - 53112].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Switches","","","","121873","All listings are being moved into [Toggle Switches - 26211].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Electrical","","","","3188","All listings are being moved into [Other Electrical Equipment & Supplies - 92078].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Lights & Lighting","","","","","58145","All listings are being moved into [Light Bulbs & Lamps - 42883].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Locks & Keys","","","","","63891","All listings are being moved into [Commercial Door Hardware - 124511].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Painting","","","","","72347","All listings are being moved into [Industrial Paints - 260876].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Plastering","","","","","121874","All listings are being moved into [Plasterboard Tape & Accessories - 260855].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Plumbing","","","","","63896","This Category is being retired.",""
"","","","","Boilers & Tanks","","","","105993","All listings are being moved into [Boiler Expansion Tanks - 260465].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Radiators & Towel Rails","","","","86173","All listings are being moved into [Central Heating Radiators - 260418].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Plumbing","","","","63905","All listings are being moved into [Plumbing Accessories - 260883].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Roofing","","","","","66945","All listings are being moved into [Other Building Materials - 1268].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Scaffolding & Ladders","","","","","55806","All listings are being moved into [Rolling Ladders & Scaffolds - 184232].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Walls","","","","","105995","All listings are being moved into [Commercial Floor & Wall Tile Accessories - 260859].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Windows & Glass","","","","","41501","All listings are being moved into [Industrial & Commercial Windows - 260902].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Building Materials","","","","","26197","All listings are being moved into [Other Building Materials - 1268].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Cement, Concrete & Masonry","","","","","260848","New Category",""
"","","","","Concrete Blocks & Bricks","","","","112389","Moved from [Building Materials & Supplies-41498] Renamed from [Bricks]",""
"","","","","Cement, Concrete, Mortar & Plaster Mix","","","","260849","New Category",""
